Year,Value,UNIT_MEASURE,SERIES
2000,0.0,Per 100 population,IT_NET_BB
2001,0.0,Per 100 population,IT_NET_BB
2002,0.01,Per 100 population,IT_NET_BB
2003,0.04,Per 100 population,IT_NET_BB
2004,0.18,Per 100 population,IT_NET_BB
2005,0.36,Per 100 population,IT_NET_BB
2006,1.06,Per 100 population,IT_NET_BB
2007,2.25,Per 100 population,IT_NET_BB
2008,5.02,Per 100 population,IT_NET_BB
2009,7.82,Per 100 population,IT_NET_BB
2010,10.55,Per 100 population,IT_NET_BB
2011,11.75,Per 100 population,IT_NET_BB
2012,13.02,Per 100 population,IT_NET_BB
2013,14.57,Per 100 population,IT_NET_BB
2014,15.58,Per 100 population,IT_NET_BB
2015,18.52,Per 100 population,IT_NET_BB
2016,19.56,Per 100 population,IT_NET_BB
2017,19.81,Per 100 population,IT_NET_BB
2018,20.87,Per 100 population,IT_NET_BB
2000,27.0,Number,IT_NET_BBN
2001,68.0,Number,IT_NET_BBN
2002,213.0,Number,IT_NET_BBN
2003,1500.0,Number,IT_NET_BBN
2004,6637.0,Number,IT_NET_BBN
2005,13702.0,Number,IT_NET_BBN
2006,40000.0,Number,IT_NET_BBN
2007,84691.0,Number,IT_NET_BBN
2008,188460.0,Number,IT_NET_BBN
2009,292113.0,Number,IT_NET_BBN
2010,390902.0,Number,IT_NET_BBN
2011,430247.0,Number,IT_NET_BBN
2012,469397.0,Number,IT_NET_BBN
2013,516104.0,Number,IT_NET_BBN
2014,542405.0,Number,IT_NET_BBN
2015,634987.0,Number,IT_NET_BBN
2016,662468.0,Number,IT_NET_BBN
2017,663913.0,Number,IT_NET_BBN
2018,693554.0,Number,IT_NET_BBN
